title,show_type,episodes,premiered,studios,source,genres,theme,age_rating,score,ranking,popularity_rank
"Natsume Yuujinchou Shi",TV,13,Winter 2012,"Brain's Base",Manga,"Drama, Slice of Life, Supernatural","Iyashikei, Mythology",PG-13 - Teens 13 or older,8.651,632,894
"One Piece",TV,Unknown,Fall 1999,"Toei Animation",Manga,"Action, Adventure, Fantasy",,PG-13 - Teens 13 or older,8.651,642,25
"Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen",TV,12,Spring 2020,"A-1 Pictures",Manga,,"Psychological, Romantic Subtext, School",PG-13 - Teens 13 or older,8.651,652,101
"Evangelion: 3.0+1.0 Thrice Upon a Time",Movie,1,,"Khara",Original,"Action, Drama, Sci-Fi","Mecha, Psychological",PG-13 - Teens 13 or older,8.641,662,657
"Haikyuu!! Second Season",TV,25,Fall 2015,"Production I.G",Manga,,"School, Team Sports",PG-13 - Teens 13 or older,8.641,672,84
"Natsume Yuujinchou Roku",TV,11,Spring 2017,"Shuka",Manga,"Drama, Slice of Life, Supernatural","Iyashikei, Mythology",PG-13 - Teens 13 or older,8.631,682,1199
"Tengen Toppa Gurren Lagann",TV,27,Spring 2007,"Gainax",Original,"Action, Adventure, Comedy, Sci-Fi",,PG-13 - Teens 13 or older,8.631,692,60
"Ping Pong the Animation",TV,11,Spring 2014,"Tatsunoko Production",Manga,"Drama, Sports",,PG-13 - Teens 13 or older,8.621,702,552
"Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai",Movie,1,,"CloverWorks",Light novel,"Drama, Romance, Supernatural",,PG-13 - Teens 13 or older,8.621,712,295
"Shingeki no Kyojin Season 3",TV,12,Summer 2018,"Wit Studio",Manga,"Action, Drama","Gore, Military, Survival",R - 17+ (violence & profanity),8.621,722,19
"Suzumiya Haruhi no Shoushitsu",Movie,1,,"Kyoto Animation",Light novel,"Mystery, Sci-Fi, Supernatural",,PG-13 - Teens 13 or older,8.621,732,321
"Death Note",TV,37,Fall 2006,"Madhouse",Manga,"Supernatural, Suspense",,R - 17+ (violence & profanity),8.621,742,2
"Ousama Ranking",TV,23,Fall 2021,"Wit Studio",Web manga,"Adventure, Fantasy",,PG-13 - Teens 13 or older,8.611,752,424
"Mushishi Zoku Shou: Suzu no Shizuku",Movie,1,,"Artland",Manga,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural","Adult Cast, Historical, Iyashikei",PG-13 - Teens 13 or older,8.601,762,1574
"Ookami Kodomo no Ame to Yuki",Movie,1,,"Studio Chizu",Original,"Fantasy, Slice of Life",,G - All Ages,8.591,772,206
"Hajime no Ippo: Rising",TV,25,Fall 2013,"Madhouse, MAPPA",Manga,,,PG-13 - Teens 13 or older,8.591,782,912
"Kizumonogatari II: Nekketsu-hen",Movie,1,,"Shaft",Light novel,"Action, Mystery, Supernatural",,R - 17+ (violence & profanity),8.591,792,471
"JoJo no Kimyou na Bouken Part 5: Ougon no Kaze",TV,39,Fall 2018,"David Production",Manga,"Action, Adventure",,R - 17+ (violence & profanity),8.581,802,157
"Natsume Yuujinchou Go",TV,11,Fall 2016,"Shuka",Manga,"Drama, Slice of Life, Supernatural","Iyashikei, Mythology",PG-13 - Teens 13 or older,8.581,812,1204
"Natsume Yuujinchou San",TV,13,Summer 2011,"Brain's Base",Manga,"Drama, Slice of Life, Supernatural","Iyashikei, Mythology",PG-13 - Teens 13 or older,8.581,822,862
"Shouwa Genroku Rakugo Shinjuu",TV,13,Winter 2016,"Studio Deen",Manga,,"Historical, Love Polygon, Performing Arts",PG-13 - Teens 13 or older,8.581,832,752
"Tengen Toppa Gurren Lagann Movie 2: Lagann-hen",Movie,1,,"Gainax",Original,"Action, Sci-Fi","Mecha, Space, Super Power",R+ - Mild Nudity,8.571,842,1014
"Yojouhan Shinwa Taikei",TV,11,Spring 2010,"Madhouse",Novel,"Comedy, Mystery, Romance","Psychological, Time Travel",R - 17+ (violence & profanity),8.571,852,473
"Fruits Basket 2nd Season",TV,25,Spring 2020,"TMS Entertainment",Manga,"Drama, Romance, Supernatural",,PG-13 - Teens 13 or older,8.571,862,457
"Kimi no Suizou wo Tabetai",Movie,1,,"Studio VOLN",Novel,"Drama, Romance, Slice of Life",,PG-13 - Teens 13 or older,8.571,872,182
"Fate/Zero 2nd Season",TV,12,Spring 2012,"ufotable",Light novel,"Action, Fantasy, Supernatural",,R - 17+ (violence & profanity),8.561,882,120
"Shoujo☆Kageki Revue Starlight Movie",Movie,1,,"Kinema Citrus",Original,,"Music, Performing Arts, School",PG-13 - Teens 13 or older,8.561,892,5413
